EPPA7,GAINSG20,FAO,
ASI,CHIN_QING,EAP excluding China,
ASI,CHIN_SHAA,EAP excluding China,
ASI,CHIN_SHAN,EAP excluding China,
ASI,CHIN_SHND,EAP excluding China,
ASI,CHIN_SHNX,EAP excluding China,
ASI,CHIN_SICH,EAP excluding China,
ASI,CHIN_TIAN,EAP excluding China,
ASI,CHIN_TIBE,EAP excluding China,
ASI,CHIN_XING,EAP excluding China,
ASI,CHIN_YUNN,EAP excluding China,
ASI,CHIN_ZHEJ,EAP excluding China,
IDZ,CHIN_ANHU,EAP excluding China,
IDZ,CHIN_BEIJ,EAP excluding China,
IDZ,CHIN_CHON,EAP excluding China,
IDZ,CHIN_FUJI,EAP excluding China,
IDZ,CHIN_GANS,EAP excluding China,
IDZ,CHIN_GUAD,EAP excluding China,
IDZ,CHIN_GUAX,EAP excluding China,
IDZ,CHIN_GUIZ,EAP excluding China,
IDZ,CHIN_HAIN,EAP excluding China,
IDZ,CHIN_HEBE,EAP excluding China,
IDZ,CHIN_HEIL,EAP excluding China,
IDZ,CHIN_HENA,EAP excluding China,
IDZ,CHIN_HONG,EAP excluding China,
IDZ,CHIN_HUBE,EAP excluding China,
IDZ,CHIN_HUNA,EAP excluding China,
IDZ,CHIN_JILI,EAP excluding China,
IDZ,CHIN_JINU,EAP excluding China,
IDZ,CHIN_JINX,EAP excluding China,
IDZ,CHIN_LIAO,EAP excluding China,
IDZ,CHIN_NEMO,EAP excluding China,
IDZ,CHIN_NINX,EAP excluding China,
IDZ,CHIN_QING,EAP excluding China,
IDZ,CHIN_SHAA,EAP excluding China,
IDZ,CHIN_SHAN,EAP excluding China,
IDZ,CHIN_SHND,EAP excluding China,
IDZ,CHIN_SHNX,EAP excluding China,
IDZ,CHIN_SICH,EAP excluding China,
IDZ,CHIN_TIAN,EAP excluding China,
IDZ,CHIN_TIBE,EAP excluding China,
IDZ,CHIN_XING,EAP excluding China,
IDZ,CHIN_YUNN,EAP excluding China,
IDZ,CHIN_ZHEJ,EAP excluding China,
REA,INDI_ANPR,South Asia,
REA,INDI_ASSA,South Asia,
REA,INDI_BENG,South Asia,
REA,INDI_BIHA,South Asia,
REA,INDI_CHHA,South Asia,
REA,INDI_DELH,South Asia,
REA,INDI_EHIM,South Asia,
REA,INDI_GOA,South Asia,
REA,INDI_GUJA,South Asia,
REA,INDI_HARY,South Asia,
REA,INDI_HIPR,South Asia,
REA,INDI_JHAR,South Asia,
REA,INDI_KARN,South Asia,
REA,INDI_KERA,South Asia,
REA,INDI_MAHA,South Asia,
REA,INDI_MAPR,South Asia,
REA,INDI_ORIS,South Asia,
REA,INDI_PUNJ,South Asia,
REA,INDI_RAJA,South Asia,
REA,INDI_TAMI,South Asia,
REA,INDI_UTAN,South Asia,
REA,INDI_UTPR,South Asia,
REA,INDI_WHIM,South Asia,
